"","year","id.land.use","land.use","Hutan.lahan.kering.primer","Hutan.lahan.kering.sekunder...bekas.tebangan","Hutan.rawa.primer","Hutan.rawa.sekunder","Hutan.mangrove.primer","Hutan.mangrove.sekunder","Hutan.tanaman","Perkebunan","Semak.belukar","Semak.belukar.rawa","Savanna...Padang.rumput","Pertanian.lahan.kering","Pertanian.lahan.kering..campur.semak...kebun.campur","Sawah","Tambak","Pemukiman","Transmigrasi","Lahan.terbuka","Pertambangan","Tubuh.air","Rawa","Awan","Bandara"
"Hutan.lahan.kering.primer",2016,"1","Hutan.lahan.kering.primer",13579.2170928386,0,0,0,0,0,0,0,0,0,0,0,336.782907161061,0,0,0,0,0,0,0,0,0,0
"Hutan.lahan.kering.sekunder...bekas.tebangan",2016,"2","Hutan.lahan.kering.sekunder...bekas.tebangan",0,131479.178409462,0,0,0,0,0,0,0,0,0,21224.3151461742,14319.5064443632,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.primer",2016,"3","Hutan.rawa.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.rawa.sekunder",2016,"4","Hutan.rawa.sekunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.primer",2016,"5","Hutan.mangrove.primer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hutan.mangrove.sekunder",2016,"6","Hutan.mangrove.sekunder",0,0,0,0,0,1089.13384787238,0,0,0,0,0,0,0,0,0,41.8661521276736,0,0,0,0,0,0,0
"Hutan.tanaman",2016,"7","Hutan.tanaman",0,0,0,0,0,0,368180.373200423,0,0,0,0,33970.0232507471,27600.2487853279,33690.3547635021,0,0,0,0,0,0,0,0,0
"Perkebunan",2016,"8","Perkebunan",0,0,0,0,0,0,0,137227.983699141,0,0,0,12657.6302446024,8065.64612227006,13585.7399339869,0,0,0,0,0,0,0,0,0
"Semak.belukar",2016,"9","Semak.belukar",0,0,0,0,0,0,0,0,2765.69150700594,0,0,0,711.308492994289,0,0,0,0,0,0,0,0,0,0
"Semak.belukar.rawa",2016,"10","Semak.belukar.rawa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
